18-08-08 14:48:23 --- one package
18-08-08 14:48:24 --- -1818   -46  8471
18-08-08 14:48:24 --- -1833   -45  8480
18-08-08 14:48:24 --- -1851   -42  8483
18-08-08 14:48:24 --- -1857   -39  8484
18-08-08 14:48:24 --- -1850   -42  8493
18-08-08 14:48:24 --- -1836   -53  8500
18-08-08 14:48:24 --- -1823   -68  8505
18-08-08 14:48:24 --- -1821   -78  8527
18-08-08 14:48:24 --- -1832   -99  8518
18-08-08 14:48:24 --- -1850  -110  8520
18-08-08 14:48:24 --- -1858  -137  8510
18-08-08 14:48:24 --- -1868  -156  8507
18-08-08 14:48:24 --- -1855  -182  8518
18-08-08 14:48:24 --- -1859  -195  8529
18-08-08 14:48:24 --- -1853  -215  8530
18-08-08 14:48:24 --- -1858  -227  8524
18-08-08 14:48:24 --- -1863  -236  8512
18-08-08 14:48:24 --- -1868  -248  8500
18-08-08 14:48:24 --- -1872  -262  8493
18-08-08 14:48:24 --- -1879  -278  8490
18-08-08 14:48:24 --- -1884  -297  8480
18-08-08 14:48:24 --- -1883  -311  8480
18-08-08 14:48:24 --- -1891  -315  8473
18-08-08 14:48:24 --- -1897  -315  8467
18-08-08 14:48:24 --- -1916  -310  8446
18-08-08 14:48:24 --- -1940  -306  8443
18-08-08 14:48:24 --- -1958  -306  8432
18-08-08 14:48:24 --- -1979  -312  8438
18-08-08 14:48:24 --- -1997  -315  8439
18-08-08 14:48:24 --- -2018  -318  8437
18-08-08 14:48:24 --- -2045  -316  8429
18-08-08 14:48:24 --- -2076  -311  8419
18-08-08 14:48:24 --- -2108  -309  8410
18-08-08 14:48:24 --- -2145  -302  8406
18-08-08 14:48:24 --- -2190  -297  8402
18-08-08 14:48:24 --- -2240  -285  8411
18-08-08 14:48:24 --- -2296  -274  8417
18-08-08 14:48:24 --- -2353  -259  8423
18-08-08 14:48:24 --- -2407  -242  8435
18-08-08 14:48:24 --- -2457  -226  8440
18-08-08 14:48:24 --- -2498  -200  8456
18-08-08 14:48:24 --- -2532  -171  8461
18-08-08 14:48:24 --- -2559  -140  8476
18-08-08 14:48:24 --- -2574  -105  8478
18-08-08 14:48:24 --- -2591   -83  8475
18-08-08 14:48:24 --- -2602   -66  8473
18-08-08 14:48:24 --- -2611   -60  8471
18-08-08 14:48:24 --- -2621   -60  8473
18-08-08 14:48:24 --- -2626   -67  8475
18-08-08 14:48:24 --- -2633   -70  8454
18-08-08 14:48:24 --- -2635   -73  8430
18-08-08 14:48:24 --- -2638   -74  8412
18-08-08 14:48:24 --- -2640   -71  8396
18-08-08 14:48:24 --- -2645   -70  8398
18-08-08 14:48:24 --- -2655   -66  8393
18-08-08 14:48:24 --- -2661   -49  8401
18-08-08 14:48:24 --- -2667   -40  8407
18-08-08 14:48:24 --- -2667   -40  8415
18-08-08 14:48:25 --- one package
18-08-08 14:48:25 --- -1790  -293  8305
18-08-08 14:48:25 --- -1783  -275  8309
18-08-08 14:48:25 --- -1791  -264  8306
18-08-08 14:48:25 --- -1830  -252  8299
18-08-08 14:48:25 --- -1880  -253  8273
18-08-08 14:48:25 --- -1939  -257  8246
18-08-08 14:48:25 --- -1983  -261  8221
18-08-08 14:48:25 --- -2011  -265  8199
18-08-08 14:48:25 --- -2019  -265  8208
18-08-08 14:48:25 --- -2013  -255  8212
18-08-08 14:48:25 --- -2010  -238  8227
18-08-08 14:48:25 --- -2001  -208  8234
18-08-08 14:48:25 --- -1987  -174  8239
18-08-08 14:48:25 --- -1974  -135  8254
18-08-08 14:48:25 --- -1951   -99  8270
18-08-08 14:48:25 --- -1935   -64  8298
18-08-08 14:48:25 --- -1924   -40  8325
18-08-08 14:48:25 --- -1917   -20  8346
18-08-08 14:48:25 --- -1924   -16  8352
18-08-08 14:48:25 --- -1938   -18  8335
18-08-08 14:48:25 --- -1962   -23  8287
18-08-08 14:48:25 --- -1986   -32  8231
18-08-08 14:48:25 --- -2003   -36  8177
18-08-08 14:48:25 --- -1996   -33  8155
18-08-08 14:48:25 --- -1969   -31  8177
18-08-08 14:48:25 --- -1913   -21  8247
18-08-08 14:48:25 --- -1839   -12  8353
18-08-08 14:48:25 --- -1744    -2  8495
18-08-08 14:48:25 --- -1648    19  8649
18-08-08 14:48:25 --- -1554    42  8796
18-08-08 14:48:25 --- -1467    73  8925
18-08-08 14:48:25 --- -1388   109  9028
18-08-08 14:48:25 --- -1327   142  9129
18-08-08 14:48:25 --- -1278   180  9225
18-08-08 14:48:25 --- -1244   211  9322
18-08-08 14:48:25 --- -1232   254  9424
18-08-08 14:48:25 --- -1219   292  9509
18-08-08 14:48:25 --- -1216   337  9582
18-08-08 14:48:25 --- -1202   370  9655
18-08-08 14:48:25 --- -1169   399  9721
18-08-08 14:48:25 --- -1101   408  9800
18-08-08 14:48:25 --- -1008   408  9885
18-08-08 14:48:25 ---  -889   390  9989
18-08-08 14:48:25 ---  -770   368 10115
18-08-08 14:48:25 ---  -648   332 10251
18-08-08 14:48:25 ---  -518   306 10392
18-08-08 14:48:25 ---  -390   273 10523
18-08-08 14:48:25 ---  -264   253 10635
18-08-08 14:48:25 ---  -149   228 10741
18-08-08 14:48:25 ---   -55   211 10818
18-08-08 14:48:25 ---    17   176 10883
18-08-08 14:48:25 ---    70   151 10922
18-08-08 14:48:25 ---    95   112 10951
18-08-08 14:48:25 ---   108    72 10944
18-08-08 14:48:25 ---   103    26 10917
18-08-08 14:48:25 ---    79   -33 10869
18-08-08 14:48:25 ---    41   -92 10789
18-08-08 14:48:25 ---   -15  -152 10709
18-08-08 14:48:25 ---   -91  -199 10612
18-08-08 14:48:25 ---  -189  -240 10507
18-08-08 14:48:25 ---  -303  -265 10396
18-08-08 14:48:25 ---  -438  -288 10296
18-08-08 14:48:25 ---  -575  -304 10193
18-08-08 14:48:25 ---  -708  -324 10107
18-08-08 14:48:25 ---  -847  -350 10019
18-08-08 14:48:25 ---  -988  -381  9946
18-08-08 14:48:25 --- -1142  -407  9869
18-08-08 14:48:25 --- -1308  -425  9795
18-08-08 14:48:25 --- -1478  -427  9708
18-08-08 14:48:25 --- -1663  -419  9624
18-08-08 14:48:25 --- -1855  -402  9525
18-08-08 14:48:25 --- -2052  -391  9453
18-08-08 14:48:25 --- -2245  -370  9376
18-08-08 14:48:25 --- -2426  -360  9294
18-08-08 14:48:25 --- -2608  -338  9211
18-08-08 14:48:25 --- -2775  -315  9101
18-08-08 14:48:25 --- -2929  -280  8999
18-08-08 14:48:25 --- -3066  -238  8889
18-08-08 14:48:25 --- -3186  -188  8793
18-08-08 14:48:25 --- -3294  -135  8703
18-08-08 14:48:25 --- -3405   -79  8620
18-08-08 14:48:25 --- -3503   -22  8564
18-08-08 14:48:25 --- -3593    38  8516
18-08-08 14:48:25 --- -3641    95  8215
18-08-08 14:48:25 --- -3678   147  8423
18-08-08 14:48:25 --- -3689   198  8330
18-08-08 14:48:25 --- -3699   245  8288
18-08-08 14:48:25 --- -3684   304  8279
18-08-08 14:48:25 --- -3613   380  8297
18-08-08 14:48:25 --- -3493   447  8336
18-08-08 14:48:25 --- -3326   464  8398
18-08-08 14:48:25 --- -3170   304  8446
18-08-08 14:48:25 --- -3049   177  8469
18-08-08 14:48:25 --- -2990    81  8467
18-08-08 14:48:25 --- -2967    51  8456
18-08-08 14:48:25 --- -2974    69  8445
18-08-08 14:48:25 --- -2979   132  8435
18-08-08 14:48:25 --- -2929   213  8437
18-08-08 14:48:25 --- -2871   284  8445
18-08-08 14:48:25 --- -2802   344  8426
18-08-08 14:48:25 --- -2770   388  8413
18-08-08 14:48:25 --- -2752   420  8355
18-08-08 14:48:25 --- -2785   460  8324
18-08-08 14:48:25 --- -2822   493  8249
18-08-08 14:48:25 --- -2872   539  8207
18-08-08 14:48:25 --- -2909   561  8118
18-08-08 14:48:25 --- -2944   596  8027
18-08-08 14:48:25 --- -2986   615  7926
18-08-08 14:48:26 --- -3026   637  7797
18-08-08 14:48:26 --- -3101   653  7670
18-08-08 14:48:26 --- -3183   663  7534
18-08-08 14:48:26 --- -3285   669  7362
18-08-08 14:48:26 --- -3393   674  7205
18-08-08 14:48:26 --- -3506   685  7042
18-08-08 14:48:26 --- -3603   699  6858
18-08-08 14:48:26 --- -3683   729  6707
18-08-08 14:48:26 --- -3736   757  6547
18-08-08 14:48:26 --- -3760   800  6366
18-08-08 14:48:26 --- -3781   838  6178
18-08-08 14:48:26 --- -3774   875  5969
18-08-08 14:48:26 --- -3829   906  5808
18-08-08 14:48:26 --- -3875   930  5663
18-08-08 14:48:26 --- -3969   951  5510
18-08-08 14:48:26 --- -4074   960  5368
18-08-08 14:48:26 --- -4161   966  5175
18-08-08 14:48:26 --- -4229   970  4895
18-08-08 14:48:26 --- -4293   989  4740
18-08-08 14:48:26 --- -4327  1017  4425
18-08-08 14:48:26 --- -4434  1073  4359
18-08-08 14:48:26 --- -4494  1105  4102
18-08-08 14:48:26 --- -4581  1149  3969
18-08-08 14:48:26 --- -4665  1142  3807
18-08-08 14:48:26 --- -4700  1157  3590
18-08-08 14:48:26 --- -4733  1147  3342
18-08-08 14:48:26 --- -4816  1169  3221
18-08-08 14:48:26 --- -4867  1137  2996
18-08-08 14:48:26 --- -4911  1160  2927
18-08-08 14:48:26 --- -4884  1144  2593
18-08-08 14:48:26 --- -4879  1215  2397
18-08-08 14:48:26 --- -4911  1267  2065
18-08-08 14:48:26 --- -5026  1358  1930
18-08-08 14:48:26 --- -5148  1388  1782
18-08-08 14:48:26 --- -5280  1435  1734
18-08-08 14:48:26 --- -5340  1417  1565
18-08-08 14:48:26 --- -5404  1465  1447
18-08-08 14:48:26 --- -5455  1488  1253
18-08-08 14:48:26 --- -5521  1577  1059
18-08-08 14:48:26 --- -5582  1632   842
18-08-08 14:48:26 --- -5697  1645   641
18-08-08 14:48:26 --- -5823  1615   693
18-08-08 14:48:26 --- -5878  1551   529
18-08-08 14:48:26 --- -5921  1491   613
18-08-08 14:48:26 --- -5791  1274   603
18-08-08 14:48:26 --- -5660  1009   539
18-08-08 14:48:26 --- -5692   606   571
18-08-08 14:48:26 --- -5889   242   468
18-08-08 14:48:26 --- -6355   -17   286
18-08-08 14:48:26 --- -6796  -162     4
18-08-08 14:48:26 --- -7113  -160  -442
18-08-08 14:48:26 --- -7201  -134 -1061
18-08-08 14:48:26 --- -7237  -104 -1639
18-08-08 14:48:26 --- -7414  -114 -2172
18-08-08 14:48:26 --- -7920  -154 -2557
18-08-08 14:48:26 --- -8707  -266 -2842
18-08-08 14:48:26 --- -9461  -416 -3079
18-08-08 14:48:26 --- -9798  -550 -3413
18-08-08 14:48:26 --- -9665  -730 -3707
18-08-08 14:48:26 --- -9100  -891 -4001
18-08-08 14:48:26 --- -8733  -993 -4325
18-08-08 14:48:26 --- -8979 -1078 -4468
18-08-08 14:48:26 --- -9742 -1205 -4562
18-08-08 14:48:26 --- -10462 -1245 -4469
18-08-08 14:48:26 --- -10534 -1305 -4396
18-08-08 14:48:26 --- -9799 -1417 -4170
18-08-08 14:48:26 --- -8460 -1391 -4034
18-08-08 14:48:26 --- -7439 -1421 -3611
18-08-08 14:48:26 --- -7373 -1366 -3084
18-08-08 14:48:26 --- -8397 -1194 -2133
18-08-08 14:48:26 --- -9636 -1149 -1195
18-08-08 14:48:26 --- -10201 -1123  -561
18-08-08 14:48:26 --- -9658 -1175  -318
18-08-08 14:48:26 --- -8350 -1294  -490
18-08-08 14:48:26 --- -7739 -1253   -29
18-08-08 14:48:26 --- -8138 -1197    44
18-08-08 14:48:26 --- -9068 -1100   614
18-08-08 14:48:26 --- -9780 -1096   325
18-08-08 14:48:26 --- -9536 -1191    41
18-08-08 14:48:26 --- -8974 -1308  -397
18-08-08 14:48:26 --- -8623 -1458  -719
18-08-08 14:48:26 --- -8763 -2008  -657
18-08-08 14:48:26 --- -9239 -1826  -850
18-08-08 14:48:26 --- -9627 -1939  -338
18-08-08 14:48:26 --- -9991 -1846    41
18-08-08 14:48:26 --- -10084 -1537   273
18-08-08 14:48:26 --- -10057 -1169   686
18-08-08 14:48:26 --- -9487 -1101   546
18-08-08 14:48:26 --- -9362 -1168  -294
18-08-08 14:48:26 --- -9155 -1196  -818
18-08-08 14:48:26 --- -8955 -1433 -1481
18-08-08 14:48:26 --- -8896 -1773 -2118
18-08-08 14:48:26 --- -9044 -1916 -2039
18-08-08 14:48:26 --- -9161 -2269 -1878
18-08-08 14:48:26 --- -9107 -2503 -2042
18-08-08 14:48:26 --- -9006 -2670 -1653
18-08-08 14:48:26 --- -8753 -2839 -1710
18-08-08 14:48:26 --- -8572 -2837 -1583
18-08-08 14:48:26 --- -8510 -2767 -1437
18-08-08 14:48:26 --- -8529 -2641 -1408
18-08-08 14:48:26 --- -8613 -2440 -1454
18-08-08 14:48:26 --- -8707 -2180 -1300
18-08-08 14:48:26 --- -8717 -1940 -1390
18-08-08 14:48:26 --- -8713 -1632 -1398
18-08-08 14:48:26 --- -8674 -1388 -1441
18-08-08 14:48:26 --- -8640 -1200 -1714
18-08-08 14:48:26 --- -8679 -1069 -1769
18-08-08 14:48:26 --- -8725 -1020 -1993
18-08-08 14:48:26 --- -8782 -1002 -2026
18-08-08 14:48:26 --- -8790 -1049 -2223
18-08-08 14:48:26 --- -8751 -1079 -2350
18-08-08 14:48:26 --- -8706 -1152 -2508
18-08-08 14:48:26 --- -8649 -1220 -2706
18-08-08 14:48:26 --- -8640 -1308 -2842
18-08-08 14:48:26 --- -8654 -1374 -2911
18-08-08 14:48:26 --- -8694 -1437 -2955
18-08-08 14:48:26 --- -8692 -1471 -3048
18-08-08 14:48:26 --- -8677 -1473 -2993
18-08-08 14:48:26 --- -8600 -1495 -3146
18-08-08 14:48:26 --- -8544 -1440 -3167
18-08-08 14:48:26 --- -8533 -1386 -3083
18-08-08 14:48:26 --- -8535 -1301 -3167
18-08-08 14:48:26 --- -8602 -1166 -3084
18-08-08 14:48:26 --- -8664 -1032 -3121
18-08-08 14:48:26 --- -8736  -851 -3128
18-08-08 14:48:26 --- -8802  -669 -3133
18-08-08 14:48:26 --- -8857  -444 -3032
18-08-08 14:48:26 --- -8858  -290 -3007
18-08-08 14:48:26 --- -8827  -118 -2988
18-08-08 14:48:26 --- -8792    13 -2851
18-08-08 14:48:26 --- -8747   123 -2865
18-08-08 14:48:26 --- -8717   245 -2759
18-08-08 14:48:26 --- -8696   344 -2669
18-08-08 14:48:26 --- -8652   440 -2640
18-08-08 14:48:26 --- -8630   509 -2610
18-08-08 14:48:26 --- -8594   580 -2585
18-08-08 14:48:26 --- -8566   609 -2608
18-08-08 14:48:26 --- -8555   646 -2608
18-08-08 14:48:26 --- -8543   681 -2560
18-08-08 14:48:26 --- -8541   711 -2562
18-08-08 14:48:26 --- -8521   757 -2500
18-08-08 14:48:26 --- -8488   783 -2445
18-08-08 14:48:26 --- -8456   818 -2398
18-08-08 14:48:26 --- -8462   854 -2315
18-08-08 14:48:26 --- -8499   898 -2248
18-08-08 14:48:26 --- -8545   955 -2178
18-08-08 14:48:26 --- -8582   997 -2064
18-08-08 14:48:26 --- -8584  1031 -1964
18-08-08 14:48:27 --- one package
18-08-08 14:48:27 --- -2638  -387  9286
18-08-08 14:48:27 --- -2431  -407  9452
18-08-08 14:48:27 --- -2210  -415  9407
18-08-08 14:48:27 --- -1994  -411  9440
18-08-08 14:48:27 --- -1763  -395  9522
18-08-08 14:48:27 --- -1528  -386  9447
18-08-08 14:48:27 --- -1294  -369  9462
18-08-08 14:48:27 --- -1067  -387  9460
18-08-08 14:48:27 ---  -831  -425  9342
18-08-08 14:48:27 ---  -603  -511  9217
18-08-08 14:48:27 ---  -374  -620  9092
18-08-08 14:48:27 ---  -148  -758  8998
18-08-08 14:48:27 ---    98  -890  8871
18-08-08 14:48:27 ---   328 -1014  8850
18-08-08 14:48:27 ---   563 -1097  8850
18-08-08 14:48:27 ---   818 -1156  8851
18-08-08 14:48:27 ---  1065 -1181  8911
18-08-08 14:48:27 ---  1322 -1171  8982
18-08-08 14:48:27 ---  1568 -1140  9123
18-08-08 14:48:27 ---  1781  -820  9242
18-08-08 14:48:27 ---  1970  -993  9350
18-08-08 14:48:27 ---  2120  -817  9388
18-08-08 14:48:27 ---  2249  -757  9359
18-08-08 14:48:27 ---  2361  -724  9322
18-08-08 14:48:27 ---  2452  -717  9264
18-08-08 14:48:27 ---  2790  -725  9224
18-08-08 14:48:27 ---  2578  -755  9176
18-08-08 14:48:27 ---  2589  -809  9110
18-08-08 14:48:27 ---  2558  -889  9039
18-08-08 14:48:27 ---  2527  -999  8955
18-08-08 14:48:27 ---  2501 -1137  8874
18-08-08 14:48:27 ---  2481 -1295  8784
18-08-08 14:48:27 ---  2444 -1468  8698
18-08-08 14:48:27 ---  2369 -1650  8637
18-08-08 14:48:27 ---  2268 -1836  8639
18-08-08 14:48:27 ---  2131 -2021  8619
18-08-08 14:48:27 ---  1978 -2215  8595
18-08-08 14:48:27 ---  1805 -2394  8560
18-08-08 14:48:27 ---  1613 -2574  8542
18-08-08 14:48:27 ---  1413 -2728  8589
18-08-08 14:48:27 ---  1219 -2865  8610
18-08-08 14:48:27 ---  1014 -2963  8597
18-08-08 14:48:27 ---   799 -3024  8398
18-08-08 14:48:27 ---   472 -3076  8328
18-08-08 14:48:27 ---   171 -3113  8194
18-08-08 14:48:27 ---  -182 -3181  8124
18-08-08 14:48:27 ---  -479 -3225  7900
18-08-08 14:48:27 ---  -749 -3285  7621
18-08-08 14:48:27 ---  -976 -3316  7214
18-08-08 14:48:27 --- -1216 -3371  7040
18-08-08 14:48:27 --- -1405 -3407  6749
18-08-08 14:48:27 --- -1602 -3454  6594
18-08-08 14:48:27 --- -1776 -3480  6434
18-08-08 14:48:27 --- -1934 -3509  6332
18-08-08 14:48:27 --- -2083 -3529  6306
18-08-08 14:48:27 --- -2205 -3540  6236
18-08-08 14:48:27 --- -2304 -3558  6065
18-08-08 14:48:27 --- -2394 -3570  5960
18-08-08 14:48:27 --- -2473 -3610  5819
18-08-08 14:48:27 --- -2540 -3638  5746
18-08-08 14:48:28 --- -2596 -3689  5662
18-08-08 14:48:28 --- -2598 -3708  5419
18-08-08 14:48:28 --- -2637 -3775  5315
18-08-08 14:48:28 --- -2627 -3826  5143
18-08-08 14:48:28 --- -2653 -3926  5107
18-08-08 14:48:28 --- -2646 -3989  5008
18-08-08 14:48:28 --- -2610 -4076  4783
18-08-08 14:48:28 --- -2572 -4165  4597
